"Symbol","Name","Price (intraday)","Change","% change","Market cap","Volume in currency (since 0:00 UTC)","Volume in currency (24 hrs)","Total volume all currencies (24 hrs)","Circulating supply"

"BTC-GBP","Bitcoin GBP","26,266.27","+1,329.09","+5.33%","492.35B","27.782B","27.782B","27.782B","18.745M"

"ETH-GBP","Ethereum GBP","1,612.14","+131.41","+8.87%","187.797B","20.033B","20.033B","20.033B","116.489M"

"USDT-GBP","Tether GBP","0.723322","-0.003331","-0.46%","45.175B","47.831B","47.831B","47.831B","62.455B"

"BNB-GBP","BinanceCoin GBP","226.72","+16.60","+7.90%","34.787B","1.459B","1.459B","1.459B","153.433M"

"ADA-GBP","Cardano GBP","1.0163","+0.0562","+5.85%","32.467B","2.027B","2.027B","2.027B","31.946B"

"DOGE-GBP","Dogecoin GBP","0.195091","+0.009975","+5.39%","25.406B","1.597B","1.597B","1.597B","130.228B"

"XRP-GBP","XRP GBP","0.524064","+0.062869","+13.63%","24.184B","2.383B","2.383B","2.383B","46.147B"

"USDC-GBP","USDCoin GBP","0.723101","-0.003544","-0.49%","18.369B","1.825B","1.825B","1.825B","25.403B"

"DOT1-GBP","Polkadot GBP","12.22","+1.23","+11.23%","11.683B","1.026B","1.026B","1.026B","955.884M"

"HEX-GBP","HEX GBP","0.061397","+0.003263","+5.61%","10.647B","25.237M","25.237M","25.237M","173.411B"

"UNI3-GBP","Uniswap GBP","13.75","+1.18","+9.35%","7.911B","246.298M","246.298M","246.298M","575.234M"

"BCH-GBP","BitcoinCash GBP","389.35","+37.20","+10.56%","7.311B","1.351B","1.351B","1.351B","18.777M"

"LTC-GBP","Litecoin GBP","106.81","+11.01","+11.49%","7.13B","1.723B","1.723B","1.723B","66.752M"

"SOL1-GBP","Solana GBP","25.73","+2.71","+11.76%","7.015B","379.646M","379.646M","379.646M","272.637M"

"LINK-GBP","Chainlink GBP","14.70","+1.48","+11.19%","6.401B","748.775M","748.775M","748.775M","435.51M"

"MATIC-GBP","MaticNetwork GBP","0.888949","+0.079064","+9.76%","5.603B","711.037M","711.037M","711.037M","6.303B"

"THETA-GBP","THETA GBP","5.3236","+0.3169","+6.33%","5.324B","184.009M","184.009M","184.009M","1B"

"ICP1-GBP","InternetComputer GBP","38.74","+8.11","+26.49%","5.237B","483.523M","483.523M","483.523M","135.174M"

"XLM-GBP","Stellar GBP","0.210725","+0.023128","+12.33%","4.89B","353.831M","353.831M","353.831M","23.207B"

"ETC-GBP","EthereumClassic GBP","40.84","+10.40","+34.18%","4.751B","2.835B","2.835B","2.835B","116.313M"

"VET-GBP","VeChain GBP","0.065686","+0.007999","+13.87%","4.225B","551.97M","551.97M","551.97M","64.316B"

